" CFS 0 Gửi nhóc CHT DCH nè A chắc là nhóc giỏi nên chọn thế nào cũng đúng, nhóc chọn thế nào a cũng ủng hộ, còn bây h bớt suy nghĩ tập trung ôn thi đi, tết về rùi tính bị đình chỉ là toi à Hy vọng qua tết a còn gặp lại nhóc HT", 0 

" CFS 1 1 01 Gửi bạn LBN khoa Hóa k1 , gần tháng rồi kể từ khi mình âm thầm unfriend bạn, mong bạn hiểu cho Thực sự đó là một quyết định khó khăn đối với mình, mình cần làm vậy để quên chứ không phải vì mình bực tức do không được chấp nhận Lâu lâu mình vẫn vào trang cá nhân của bạn, mình vui khi xem stt và hình của bạn Mong bạn hạnh phúc Mong ad đăng dùm mình vì mình đã không để lại lời nhắn cho bạn ấy lúc đó Cảm ơn TB", 1 

"Có ĐRL rồi mấy anh chụy em ơi KSG ", 0 

" CFS 1 Trước gjờ thích toàn con trai mà gjờ con đó tự nhiên ở đâu xuất hiện làm mình không thể sống dối lòng được nữa Tạm biệt mấy ae đẹp trai A đi theo con nhỏ đó thôi Xin lỗi ae nha Thứ lỗi cho a Tks ae trong thời gjan qua đã giúp a đã thông kinh mạch v pdk ", 1 

" CFS 0 điểm của môn mình bị rớt có bị ghi vào bản điểm tốt nghiệp không anh chị KSG P S e có bảng điểm tốt nghiệp thì sao còn môn nào rớt mà ghi ", 0 

" CFS Tình hình là mình có để ý một bạn nữ trường khác, bấy lâu nay ít khi say nắng Chưa bao giờ làm việc gì thẹn với lòng, nên trò chuyện với bạn ấy vẫn hơi ngại ngại, người ta nói đẹp trai không bằng chai mặt Anh em nghĩ có nên tiếp tục chai nữa không hay từ bỏ để về với chính mình Ngoài ra cho tham khảo ý kiến các bạn nữ có thích vậy không ta SOS ", 1 

" CFS 1 cho mình hỏi cfs KHTN có phân biệt thành viên trường này trường khác k thực ra mình là 1 mem trường khác nhưng thấy cfs trường bạn rất vui, đặc biệt là mấy cái cmt, đôi khi mình cũng muốn tham gia chém gió nhưng lại ngại vì mình k học KHTN , 0 

" CFS các bạn IT cho mình hỏi cái dây màn hình laptop bị đứt bây giờ màn hình nó màu trắng đen thui thì có thể nối lại được không vậy có ai bít ở đâu sửa mà không cần thay màn hình laptop không vậy thanks mọi người nhiều jl PS IT trường mình chỉ cài win dạo thui ", 0 

" CFS Mình là sv cao đẳng của trường và mình muốn tâm sự chút xíu Dù là sv của một trường ĐH lớn như trường mình nhưng mình lại rất tự ti và đôi lúc cảm thấy xấu hổ vì mình học cao đẳng Đôi lúc muốn thi lại nhưng hoàn cảnh lại không cho phép nên mình đành phải theo đuổi ước mơ của mình theo con đường dài hơn người khác Mình sẽ cố gắng học giỏi và phấn đấu hết mình để theo đuổi ước mơ mà mình đã chọn PHẢI CỐ GẮNG LÊN ", 0 

